dataset,noise_ratio,LightGCN,SGL,SimGCL,LightGCN++,HCCF,DyHuCoG,CoopGCN (Ours)
ML-1M,0.00,0.2169,0.2299,0.2300,0.2350,0.2280,0.2775,0.2960
ML-1M,0.05,0.2010,0.2140,0.2140,0.2190,0.2100,0.2580,0.2890
ML-1M,0.10,0.1820,0.1940,0.1950,0.2010,0.1900,0.2350,0.2840
ML-1M,0.20,0.1540,0.1640,0.1650,0.1760,0.1650,0.2080,0.2800
Yelp2018,0.00,0.0530,0.0555,0.0601,0.0548,0.0399,0.0439,0.0680
Yelp2018,0.05,0.0490,0.0516,0.0560,0.0512,0.0368,0.0408,0.0664
Yelp2018,0.10,0.0441,0.0470,0.0511,0.0470,0.0330,0.0374,0.0652
Yelp2018,0.20,0.0373,0.0400,0.0433,0.0410,0.0288,0.0330,0.0641
