dataset,model,seed,L,cap_sampling,credited_edges,total_edges,credited_fraction,ndcg_20,tr_20,coverage_20,status,notes
ML-100K,CoopGCN,42,32,input,30176,70000,0.431_upper_bound,,,,diagnostic_complete,exact_degree_distribution_pending
ML-1M,CoopGCN,42,16,random,,,,,,,pending,
ML-1M,CoopGCN,42,32,input,193280,700146,0.276_upper_bound,,,,diagnostic_complete,exact_degree_distribution_pending
ML-1M,CoopGCN,42,32,random,,,,,,,pending,
ML-1M,CoopGCN,42,64,random,,,,,,,pending,
ML-1M,CoopGCN,42,128,random,,,,,,,pending,
Gowalla,CoopGCN,42,32,input,557516,810128,0.688,,,,diagnostic_complete,exact_from_pinned_train
Yelp2018,CoopGCN,42,32,input,797290,1237259,0.644,,,,diagnostic_complete,exact_from_pinned_train
Amazon-Book,CoopGCN,42,32,input,1342666,2380730,0.564,,,,diagnostic_complete,exact_from_pinned_train
